hour,demand,temperature,day_of_week,is_weekend,hour_of_day,month,year,day,demand_lag_1,demand_lag_2,demand_lag_3,demand_lag_6,demand_lag_12,demand_lag_24,rolling_mean_6h,rolling_mean_24h
1948-03-30,68,17.0,1,0,0,3,1948,30,51.0,69.0,73.0,55.0,51.0,59.0,61.5,56.041666666666664
1948-03-31,58,12.0,2,0,0,3,1948,31,68.0,51.0,69.0,51.0,51.0,49.0,62.666666666666664,56.416666666666664
1948-04-01,57,8.0,3,0,0,4,1948,1,58.0,68.0,51.0,57.0,41.0,54.0,62.666666666666664,56.541666666666664
1948-04-02,47,7.0,4,0,0,4,1948,2,57.0,58.0,68.0,73.0,51.0,54.0,58.333333333333336,56.25
1948-04-03,49,7.0,5,1,0,4,1948,3,47.0,57.0,58.0,69.0,51.0,52.0,55.0,56.125
1948-04-04,52,9.0,6,1,0,4,1948,4,49.0,47.0,57.0,51.0,65.0,57.0,55.166666666666664,55.916666666666664
1948-04-05,49,11.0,0,0,0,4,1948,5,52.0,49.0,47.0,68.0,55.0,69.0,52.0,55.083333333333336
1948-04-06,50,6.0,1,0,0,4,1948,6,49.0,52.0,49.0,58.0,51.0,55.0,50.666666666666664,54.875
1948-04-07,61,13.0,2,0,0,4,1948,7,50.0,49.0,52.0,57.0,57.0,64.0,51.333333333333336,54.75
1948-04-08,63,15.0,3,0,0,4,1948,8,61.0,50.0,49.0,47.0,73.0,43.0,54.0,55.583333333333336
1948-04-09,54,10.0,4,0,0,4,1948,9,63.0,61.0,50.0,49.0,69.0,59.0,54.833333333333336,55.375
1948-04-10,51,12.0,5,1,0,4,1948,10,54.0,63.0,61.0,52.0,51.0,55.0,54.666666666666664,55.208333333333336
1948-04-11,53,10.0,6,1,0,4,1948,11,51.0,54.0,63.0,49.0,68.0,51.0,55.333333333333336,55.291666666666664
1948-04-12,52,9.0,0,0,0,4,1948,12,53.0,51.0,54.0,50.0,58.0,51.0,55.666666666666664,55.333333333333336
1948-04-13,58,15.0,1,0,0,4,1948,13,52.0,53.0,51.0,61.0,57.0,41.0,55.166666666666664,56.041666666666664
1948-04-14,65,17.0,2,0,0,4,1948,14,58.0,52.0,53.0,63.0,47.0,51.0,55.5,56.625
1948-04-15,69,18.0,3,0,0,4,1948,15,65.0,58.0,52.0,54.0,49.0,51.0,58.0,57.375
1948-04-16,75,17.0,4,0,0,4,1948,16,69.0,65.0,58.0,51.0,52.0,65.0,62.0,57.791666666666664
1948-04-17,59,12.0,5,1,0,4,1948,17,75.0,69.0,65.0,53.0,49.0,55.0,63.0,57.958333333333336
1948-04-18,62,14.0,6,1,0,4,1948,18,59.0,75.0,69.0,52.0,50.0,51.0,64.66666666666667,58.416666666666664
1948-04-19,64,16.0,0,0,0,4,1948,19,62.0,59.0,75.0,58.0,61.0,57.0,65.66666666666667,58.708333333333336
1948-04-20,57,18.0,1,0,0,4,1948,20,64.0,62.0,59.0,65.0,63.0,73.0,64.33333333333333,58.041666666666664
1948-04-21,59,13.0,2,0,0,4,1948,21,57.0,64.0,62.0,69.0,54.0,69.0,62.666666666666664,57.625
1948-04-22,60,13.0,3,0,0,4,1948,22,59.0,57.0,64.0,75.0,51.0,51.0,60.166666666666664,58.0
1948-04-23,70,12.0,4,0,0,4,1948,23,60.0,59.0,57.0,59.0,53.0,68.0,62.0,58.083333333333336
1948-04-24,51,8.0,5,1,0,4,1948,24,70.0,60.0,59.0,62.0,52.0,58.0,60.166666666666664,57.791666666666664
1948-04-25,54,8.0,6,1,0,4,1948,25,51.0,70.0,60.0,64.0,58.0,57.0,58.5,57.666666666666664
1948-04-26,53,9.0,0,0,0,4,1948,26,54.0,51.0,70.0,57.0,65.0,47.0,57.833333333333336,57.916666666666664
1948-04-27,51,11.0,1,0,0,4,1948,27,53.0,54.0,51.0,59.0,69.0,49.0,56.5,58.0
1948-04-28,56,7.0,2,0,0,4,1948,28,51.0,53.0,54.0,60.0,75.0,52.0,55.833333333333336,58.166666666666664
1948-04-29,62,12.0,3,0,0,4,1948,29,56.0,51.0,53.0,70.0,59.0,49.0,54.5,58.708333333333336
1948-04-30,63,13.0,4,0,0,4,1948,30,62.0,56.0,51.0,51.0,62.0,50.0,56.5,59.25
1948-05-01,56,14.0,5,1,0,5,1948,1,63.0,62.0,56.0,54.0,64.0,61.0,56.833333333333336,59.041666666666664
1948-05-02,68,14.0,6,1,0,5,1948,2,56.0,63.0,62.0,53.0,57.0,63.0,59.333333333333336,59.25
1948-05-03,51,12.0,0,0,0,5,1948,3,68.0,56.0,63.0,51.0,59.0,54.0,59.333333333333336,59.125
1948-05-04,62,13.0,1,0,0,5,1948,4,51.0,68.0,56.0,56.0,60.0,51.0,60.333333333333336,59.583333333333336
1948-05-05,70,13.0,2,0,0,5,1948,5,62.0,51.0,68.0,62.0,70.0,53.0,61.666666666666664,60.291666666666664
1948-05-06,56,14.0,3,0,0,5,1948,6,70.0,62.0,51.0,63.0,51.0,52.0,60.5,60.458333333333336
1948-05-07,60,15.0,4,0,0,5,1948,7,56.0,70.0,62.0,56.0,54.0,58.0,61.166666666666664,60.541666666666664
1948-05-08,58,12.0,5,1,0,5,1948,8,60.0,56.0,70.0,68.0,53.0,65.0,59.5,60.25
1948-05-09,54,11.0,6,1,0,5,1948,9,58.0,60.0,56.0,51.0,51.0,69.0,60.0,59.625
1948-05-10,52,13.0,0,0,0,5,1948,10,54.0,58.0,60.0,62.0,56.0,75.0,58.333333333333336,58.666666666666664
1948-05-11,66,17.0,1,0,0,5,1948,11,52.0,54.0,58.0,70.0,62.0,59.0,57.666666666666664,58.958333333333336
1948-05-12,53,12.0,2,0,0,5,1948,12,66.0,52.0,54.0,56.0,63.0,62.0,57.166666666666664,58.583333333333336
1948-05-13,60,12.0,3,0,0,5,1948,13,53.0,66.0,52.0,60.0,56.0,64.0,57.166666666666664,58.416666666666664
1948-05-14,56,14.0,4,0,0,5,1948,14,60.0,53.0,66.0,58.0,68.0,57.0,56.833333333333336,58.375
1948-05-15,75,18.0,5,1,0,5,1948,15,56.0,60.0,53.0,54.0,51.0,59.0,60.333333333333336,59.041666666666664
1948-05-16,56,13.0,6,1,0,5,1948,16,75.0,56.0,60.0,52.0,62.0,60.0,61.0,58.875
1948-05-17,64,17.0,0,0,0,5,1948,17,56.0,75.0,56.0,66.0,70.0,70.0,60.666666666666664,58.625
1948-05-18,68,16.0,1,0,0,5,1948,18,64.0,56.0,75.0,53.0,56.0,51.0,63.166666666666664,59.333333333333336
1948-05-19,58,16.0,2,0,0,5,1948,19,68.0,64.0,56.0,60.0,60.0,54.0,62.833333333333336,59.5
1948-05-20,74,22.0,3,0,0,5,1948,20,58.0,68.0,64.0,56.0,58.0,53.0,65.83333333333333,60.375
1948-05-21,72,17.0,4,0,0,5,1948,21,74.0,58.0,68.0,75.0,54.0,51.0,65.33333333333333,61.25
1948-05-22,59,18.0,5,1,0,5,1948,22,72.0,74.0,58.0,56.0,52.0,56.0,65.83333333333333,61.375
1948-05-23,68,18.0,6,1,0,5,1948,23,59.0,72.0,74.0,64.0,66.0,62.0,66.5,61.625
1948-05-24,82,27.0,0,0,0,5,1948,24,68.0,59.0,72.0,68.0,53.0,63.0,68.83333333333333,62.416666666666664
1948-05-25,78,23.0,1,0,0,5,1948,25,82.0,68.0,59.0,58.0,60.0,56.0,72.16666666666667,63.333333333333336
1948-05-26,65,21.0,2,0,0,5,1948,26,78.0,82.0,68.0,74.0,56.0,68.0,70.66666666666667,63.208333333333336
1948-05-27,57,16.0,3,0,0,5,1948,27,65.0,78.0,82.0,72.0,75.0,51.0,68.16666666666667,63.458333333333336
1948-05-28,61,12.0,4,0,0,5,1948,28,57.0,65.0,78.0,59.0,56.0,62.0,68.5,63.416666666666664
1948-05-29,62,14.0,5,1,0,5,1948,29,61.0,57.0,65.0,68.0,64.0,70.0,67.5,63.083333333333336
1948-05-30,73,21.0,6,1,0,5,1948,30,62.0,61.0,57.0,82.0,68.0,56.0,66.0,63.791666666666664
1948-05-31,79,25.0,0,0,0,5,1948,31,73.0,62.0,61.0,78.0,58.0,60.0,66.16666666666667,64.58333333333333
1948-06-01,70,22.0,1,0,0,6,1948,1,79.0,73.0,62.0,65.0,74.0,58.0,67.0,65.08333333333333
1948-06-02,77,24.0,2,0,0,6,1948,2,70.0,79.0,73.0,57.0,72.0,54.0,70.33333333333333,66.04166666666667
1948-06-03,70,19.0,3,0,0,6,1948,3,77.0,70.0,79.0,61.0,59.0,52.0,71.83333333333333,66.79166666666667
1948-06-04,68,21.0,4,0,0,6,1948,4,70.0,77.0,70.0,62.0,68.0,66.0,72.83333333333333,66.875
1948-06-05,85,24.0,5,1,0,6,1948,5,68.0,70.0,77.0,73.0,82.0,53.0,74.83333333333333,68.20833333333333
1948-06-06,83,27.0,6,1,0,6,1948,6,85.0,68.0,70.0,79.0,78.0,60.0,75.5,69.16666666666667
1948-06-07,79,30.0,0,0,0,6,1948,7,83.0,85.0,68.0,70.0,65.0,56.0,77.0,70.125
1948-06-08,87,29.0,1,0,0,6,1948,8,79.0,83.0,85.0,77.0,57.0,75.0,78.66666666666667,70.625
1948-06-09,74,26.0,2,0,0,6,1948,9,87.0,79.0,83.0,70.0,61.0,56.0,79.33333333333333,71.375
1948-06-10,80,24.0,3,0,0,6,1948,10,74.0,87.0,79.0,68.0,62.0,64.0,81.33333333333333,72.04166666666667
1948-06-11,70,16.0,4,0,0,6,1948,11,80.0,74.0,87.0,85.0,73.0,68.0,78.83333333333333,72.125
1948-06-12,64,19.0,5,1,0,6,1948,12,70.0,80.0,74.0,83.0,79.0,58.0,75.66666666666667,72.375
1948-06-13,73,19.0,6,1,0,6,1948,13,64.0,70.0,80.0,79.0,70.0,74.0,74.66666666666667,72.33333333333333
1948-06-14,75,22.0,0,0,0,6,1948,14,73.0,64.0,70.0,87.0,77.0,72.0,72.66666666666667,72.45833333333333
1948-06-15,76,21.0,1,0,0,6,1948,15,75.0,73.0,64.0,74.0,70.0,59.0,73.0,73.16666666666667
1948-06-16,73,16.0,2,0,0,6,1948,16,76.0,75.0,73.0,80.0,68.0,68.0,71.83333333333333,73.375
1948-06-17,66,18.0,3,0,0,6,1948,17,73.0,76.0,75.0,70.0,85.0,82.0,71.16666666666667,72.70833333333333
1948-06-18,69,22.0,4,0,0,6,1948,18,66.0,73.0,76.0,64.0,83.0,78.0,72.0,72.33333333333333
1948-06-19,66,20.0,5,1,0,6,1948,19,69.0,66.0,73.0,73.0,79.0,65.0,70.83333333333333,72.375
1948-06-20,60,16.0,6,1,0,6,1948,20,66.0,69.0,66.0,75.0,87.0,57.0,68.33333333333333,72.5
1948-06-21,65,17.0,0,0,0,6,1948,21,60.0,66.0,69.0,76.0,74.0,61.0,66.5,72.66666666666667
1948-06-22,67,17.0,1,0,0,6,1948,22,65.0,60.0,66.0,73.0,80.0,62.0,65.5,72.875
1948-06-23,73,21.0,2,0,0,6,1948,23,67.0,65.0,60.0,66.0,70.0,73.0,66.66666666666667,72.875
1948-06-24,71,18.0,3,0,0,6,1948,24,73.0,67.0,65.0,69.0,64.0,79.0,67.0,72.54166666666667
1948-06-25,67,18.0,4,0,0,6,1948,25,71.0,73.0,67.0,66.0,73.0,70.0,67.16666666666667,72.41666666666667
1948-06-26,80,22.0,5,1,0,6,1948,26,67.0,71.0,73.0,60.0,75.0,77.0,70.5,72.54166666666667
1948-06-27,78,26.0,6,1,0,6,1948,27,80.0,67.0,71.0,65.0,76.0,70.0,72.66666666666667,72.875
1948-06-28,96,28.0,0,0,0,6,1948,28,78.0,80.0,67.0,67.0,73.0,68.0,77.5,74.04166666666667
1948-06-29,85,28.0,1,0,0,6,1948,29,96.0,78.0,80.0,73.0,66.0,85.0,79.5,74.04166666666667
1948-06-30,70,23.0,2,0,0,6,1948,30,85.0,96.0,78.0,71.0,69.0,83.0,79.33333333333333,73.5
1948-07-01,66,21.0,3,0,0,7,1948,1,70.0,85.0,96.0,67.0,66.0,79.0,79.16666666666667,72.95833333333333
1948-07-02,74,21.0,4,0,0,7,1948,2,66.0,70.0,85.0,80.0,60.0,87.0,78.16666666666667,72.41666666666667
1948-07-03,75,24.0,5,1,0,7,1948,3,74.0,66.0,70.0,78.0,65.0,74.0,77.66666666666667,72.45833333333333
1948-07-04,72,19.0,6,1,0,7,1948,4,75.0,74.0,66.0,96.0,67.0,80.0,73.66666666666667,72.125
1948-07-05,71,19.0,0,0,0,7,1948,5,72.0,75.0,74.0,85.0,73.0,70.0,71.33333333333333,72.16666666666667
1948-07-06,71,21.0,1,0,0,7,1948,6,71.0,72.0,75.0,70.0,71.0,64.0,71.5,72.45833333333333
1948-07-07,63,18.0,2,0,0,7,1948,7,71.0,71.0,72.0,66.0,67.0,73.0,71.0,72.04166666666667
1948-07-08,65,22.0,3,0,0,7,1948,8,63.0,71.0,71.0,74.0,80.0,75.0,69.5,71.625
1948-07-09,75,25.0,4,0,0,7,1948,9,65.0,63.0,71.0,75.0,78.0,76.0,69.5,71.58333333333333
1948-07-10,77,22.0,5,1,0,7,1948,10,75.0,65.0,63.0,72.0,96.0,73.0,70.33333333333333,71.75
1948-07-11,74,22.0,6,1,0,7,1948,11,77.0,75.0,65.0,71.0,85.0,66.0,70.83333333333333,72.08333333333333
1948-07-12,67,22.0,0,0,0,7,1948,12,74.0,77.0,75.0,71.0,70.0,69.0,70.16666666666667,72.0
1948-07-13,77,24.0,1,0,0,7,1948,13,67.0,74.0,77.0,63.0,66.0,66.0,72.5,72.45833333333333
1948-07-14,79,25.0,2,0,0,7,1948,14,77.0,67.0,74.0,65.0,74.0,60.0,74.83333333333333,73.25
1948-07-15,78,28.0,3,0,0,7,1948,15,79.0,77.0,67.0,75.0,75.0,65.0,75.33333333333333,73.79166666666667
1948-07-16,81,27.0,4,0,0,7,1948,16,78.0,79.0,77.0,77.0,72.0,67.0,76.0,74.375
1948-07-17,81,27.0,5,1,0,7,1948,17,81.0,78.0,79.0,74.0,71.0,73.0,77.16666666666667,74.70833333333333
1948-07-18,58,16.0,6,1,0,7,1948,18,81.0,81.0,78.0,67.0,71.0,71.0,75.66666666666667,74.16666666666667
1948-07-19,69,18.0,0,0,0,7,1948,19,58.0,81.0,81.0,77.0,63.0,67.0,74.33333333333333,74.25
1948-07-20,71,19.0,1,0,0,7,1948,20,69.0,58.0,81.0,79.0,65.0,80.0,73.0,73.875
1948-07-21,80,23.0,2,0,0,7,1948,21,71.0,69.0,58.0,78.0,75.0,78.0,73.33333333333333,73.95833333333333
1948-07-22,78,22.0,3,0,0,7,1948,22,80.0,71.0,69.0,81.0,77.0,96.0,72.83333333333333,73.20833333333333
1948-07-23,66,22.0,4,0,0,7,1948,23,78.0,80.0,71.0,81.0,74.0,85.0,70.33333333333333,72.41666666666667
1948-07-24,68,22.0,5,1,0,7,1948,24,66.0,78.0,80.0,58.0,67.0,70.0,72.0,72.33333333333333
1948-07-25,82,26.0,6,1,0,7,1948,25,68.0,66.0,78.0,69.0,77.0,66.0,74.16666666666667,73.0
1948-07-26,82,26.0,0,0,0,7,1948,26,82.0,68.0,66.0,71.0,79.0,74.0,76.0,73.33333333333333
1948-07-27,70,18.0,1,0,0,7,1948,27,82.0,82.0,68.0,80.0,78.0,75.0,74.33333333333333,73.125
1948-07-28,91,21.0,2,0,0,7,1948,28,70.0,82.0,82.0,78.0,81.0,72.0,76.5,73.91666666666667
1948-07-29,76,22.0,3,0,0,7,1948,29,91.0,70.0,82.0,66.0,81.0,71.0,78.16666666666667,74.125
1948-07-30,86,27.0,4,0,0,7,1948,30,76.0,91.0,70.0,68.0,58.0,71.0,81.16666666666667,74.75
1948-07-31,90,30.0,5,1,0,7,1948,31,86.0,76.0,91.0,82.0,69.0,63.0,82.5,75.875
1948-08-01,79,24.0,6,1,0,8,1948,1,90.0,86.0,76.0,82.0,71.0,65.0,82.0,76.45833333333333
1948-08-02,67,19.0,0,0,0,8,1948,2,79.0,90.0,86.0,70.0,80.0,75.0,81.5,76.125
1948-08-03,74,20.0,1,0,0,8,1948,3,67.0,79.0,90.0,91.0,78.0,77.0,78.66666666666667,76.0
1948-08-04,63,18.0,2,0,0,8,1948,4,74.0,67.0,79.0,76.0,66.0,74.0,76.5,75.54166666666667
1948-08-05,64,17.0,3,0,0,8,1948,5,63.0,74.0,67.0,86.0,68.0,67.0,72.83333333333333,75.41666666666667
1948-08-06,69,21.0,4,0,0,8,1948,6,64.0,63.0,74.0,90.0,82.0,77.0,69.33333333333333,75.08333333333333
1948-08-07,72,21.0,5,1,0,8,1948,7,69.0,64.0,63.0,79.0,82.0,79.0,68.16666666666667,74.79166666666667
1948-08-08,86,23.0,6,1,0,8,1948,8,72.0,69.0,64.0,67.0,70.0,78.0,71.33333333333333,75.125
1948-08-09,64,22.0,0,0,0,8,1948,9,86.0,72.0,69.0,74.0,91.0,81.0,69.66666666666667,74.41666666666667
1948-08-10,73,20.0,1,0,0,8,1948,10,64.0,86.0,72.0,63.0,76.0,81.0,71.33333333333333,74.08333333333333
1948-08-11,57,17.0,2,0,0,8,1948,11,73.0,64.0,86.0,64.0,86.0,58.0,70.16666666666667,74.04166666666667
1948-08-12,72,23.0,3,0,0,8,1948,12,57.0,73.0,64.0,69.0,90.0,69.0,70.66666666666667,74.16666666666667
1948-08-13,72,18.0,4,0,0,8,1948,13,72.0,57.0,73.0,72.0,79.0,71.0,70.66666666666667,74.20833333333333
1948-08-14,69,19.0,5,1,0,8,1948,14,72.0,72.0,57.0,86.0,67.0,80.0,67.83333333333333,73.75
1948-08-15,65,20.0,6,1,0,8,1948,15,69.0,72.0,72.0,64.0,74.0,78.0,68.0,73.20833333333333
1948-08-16,68,21.0,0,0,0,8,1948,16,65.0,69.0,72.0,73.0,63.0,66.0,67.16666666666667,73.29166666666667
1948-08-17,78,23.0,1,0,0,8,1948,17,68.0,65.0,69.0,57.0,64.0,68.0,70.66666666666667,73.70833333333333
1948-08-18,71,23.0,2,0,0,8,1948,18,78.0,68.0,65.0,72.0,69.0,82.0,70.5,73.25
1948-08-19,70,19.0,3,0,0,8,1948,19,71.0,78.0,68.0,72.0,72.0,82.0,70.16666666666667,72.75
1948-08-20,67,18.0,4,0,0,8,1948,20,70.0,71.0,78.0,69.0,86.0,70.0,69.83333333333333,72.625
1948-08-21,64,18.0,5,1,0,8,1948,21,67.0,70.0,71.0,65.0,64.0,91.0,69.66666666666667,71.5
1948-08-22,82,21.0,6,1,0,8,1948,22,64.0,67.0,70.0,68.0,73.0,76.0,72.0,71.75
1948-08-23,73,20.0,0,0,0,8,1948,23,82.0,64.0,67.0,78.0,57.0,86.0,71.16666666666667,71.20833333333333
1948-08-24,55,17.0,1,0,0,8,1948,24,73.0,82.0,64.0,71.0,72.0,90.0,68.5,69.75
1948-08-25,74,22.0,2,0,0,8,1948,25,55.0,73.0,82.0,70.0,72.0,79.0,69.16666666666667,69.54166666666667
1948-08-26,68,21.0,3,0,0,8,1948,26,74.0,55.0,73.0,67.0,69.0,67.0,69.33333333333333,69.58333333333333
1948-08-27,68,16.0,4,0,0,8,1948,27,68.0,74.0,55.0,64.0,65.0,74.0,70.0,69.33333333333333
1948-08-28,77,27.0,5,1,0,8,1948,28,68.0,68.0,74.0,82.0,68.0,63.0,69.16666666666667,69.91666666666667
1948-08-29,74,23.0,6,1,0,8,1948,29,77.0,68.0,68.0,73.0,78.0,64.0,69.33333333333333,70.33333333333333
